phecode	pph4_sigpairs	pph4_fullpairs	top_gene	top_tissue	n_gt0p5	n_gt0p8
M13_ARTHROSIS	0.996606836955134	0.0976670779228868	ENSG00000104866.10	Brain_Cerebellum	0	0
M13_ARTHROSIS_INCLAVO	0.996606836955134	0.0905103559133908	ENSG00000104866.10	Brain_Cerebellum	0	0
M13_ARTHROSIS_KNEE	0.996606836955134	0.11253293588898	ENSG00000104866.10	Brain_Cerebellum	0	0
AD_EO_EXMORE	0.982793877933781	0.333093964518621	ENSG00000203710.10	Brain_Caudate_basal_ganglia	0	0
AD_LO_EXMORE	0.982793877933781	0.981648390764637	ENSG00000203710.10	Brain_Caudate_basal_ganglia	5	4
F5_ALZHDEMENT	0.982793877933781	0.975978110081673	ENSG00000203710.10	Brain_Cortex	5	4
F5_DEMENTIA	0.982793877933781	0.983505669508592	ENSG00000203710.10	Brain_Cortex	5	4
F5_DEMENTIA_INCLAVO	0.982793877933781	0.982766137239649	ENSG00000203710.10	Brain_Cortex	5	4
F5_VASCDEM	0.982793877933781	0.317409311168799	ENSG00000284237.1	Brain_Cortex	0	0
G6_AD_WIDE	0.982793877933781	0.979930791032783	ENSG00000203710.10	Brain_Caudate_basal_ganglia	5	4
G6_ALZHEIMER	0.982793877933781	0.981604862723855	ENSG00000203710.10	Brain_Caudate_basal_ganglia	5	4
G6_NEURODEGENERATIVE	0.982793877933781	0.982248398470129	ENSG00000203710.10	Brain_Cortex	5	4
KRA_PSY_DEMENTIA_EXMORE	0.982793877933781	0.983605800877171	ENSG00000203710.10	Brain_Caudate_basal_ganglia	5	4
NEURODEGOTH	0.982793877933781	0.976345625012141	ENSG00000203710.10	Brain_Cortex	5	4
Q17_LVOTO_BROAD	0.982793877933781	0.18986678355213	ENSG00000284237.1	Brain_Caudate_basal_ganglia	0	0
ST19_FRACT_FOREA	0.982793877933781	0.119208705581208	ENSG00000203710.10	Brain_Caudate_basal_ganglia	0	0
