phecode	class	phenotype	num_cases	n_common	min_p_locus	pp_h4	pp_h3	pp_h0_h1_h2
F5_DEMENTIA	AD_positive_control	Dementia	24864	2465	2.43052e-14	0.983505669508592	0.016424272358378	7.00581330307799e-05
KRA_PSY_DEMENTIA_EXMORE	AD_positive_control	Any dementia (more control exclusions)	21157	2464	2.31047e-11	0.983447356631141	0.0164821502367248	7.04931321343129e-05
F5_DEMENTIA_INCLAVO	AD_positive_control	Dementia, including avohilmo	26681	2464	8.09096e-14	0.982766137239649	0.0171608424861593	7.30202741908921e-05
G6_ALZHEIMER	AD_positive_control	Alzheimer disease	13964	2464	9.96323e-12	0.980042728665705	0.0198732821703333	8.39891639605206e-05
G6_AD_WIDE	AD_positive_control	Alzheimer’s disease, wide definition	10821	2464	6.07995e-11	0.976035339029431	0.0238644578180662	0.000100203152504217
F5_ALZHDEMENT	AD_positive_control	Dementia in Alzheimer disease	7968	2465	4.86295e-08	0.975978110081673	0.0237953155704126	0.000226574347913118
ST19_FRACT_FOREA	negative_control	Fracture of forearm	27907	2465	5.00991e-06	0.107240250333621	0.823653254059608	0.0691064956067708
L12_NAIL_INGROW	negative_control	Ingrowing nail	2074	2465	0.001439	0.0694036460682868	0.139968330641131	0.790628023290583
K11_UMBHER	negative_control	Umbilical hernia	11934	2464	0.00384211	0.0523346233103668	0.0545939807784015	0.893071395911232
H7_MYOPIA	negative_control	Myopia	5406	2465	1.31341e-05	0.0406758753335061	0.345531189730341	0.613792934936154
ABDOM_HERNIA	negative_control	Hernia of abdominal wall	21210	2464	0.00366843	0.0349661504552092	0.0421099578480171	0.922923891696774
H7_ASTIGMATISM	negative_control	Astigmatism	2286	2465	0.000606848	0.0275858342772268	0.0869004244808517	0.885513741241921
M13_RECUDISLOCATIO	negative_control	Recurrent dislocation and subluxation of joint	3043	2464	0.00289181	0.0178087058186769	0.135468274561371	0.846723019619953
ST19_FRACT_RIBS_STERNUM_THORACIC_SPINE	negative_control	Fracture of rib(s), sternum and thoracic spine	12995	2465	0.00279287	0.0174783983813318	0.0519327448746303	0.930588856744038
J10_SEPTDEV	negative_control	Deviated nasal septum	15803	2463	0.000208805	0.0159186867893763	0.166831738847256	0.817249574363367
K11_VENTHER	negative_control	Ventral hernia	10405	2464	0.00120598	0.0149815103117733	0.0603357236952907	0.924682765992936
K11_ANOMALI_DENTAL_ARCH_RELATIONS1	negative_control	Anomalies of dental arch relationship, including avohilmo	10708	2464	0.000876052	0.0116931883544196	0.0698205223542373	0.918486289291343
ST19_FRACT_LUMBAR_SPINE_PELVIS	negative_control	Fracture of lumbar spine and pelvis	9061	2464	0.000747395	0.011038075326147	0.133325945133651	0.855635979540202
H7_REFRAACCOMMODIS	negative_control	Disorders of refraction and accommodation	12151	2465	0.000591793	0.00985677707378061	0.0692622509932043	0.920880971933016
K11_HERNIA	negative_control	Hernia	73682	2464	1.49228e-05	0.0094642319678393	0.281496701392074	0.709039066640086
K11_DIAHER	negative_control	Diaphragmatic hernia	16034	2465	0.0018889	0.00911061976178769	0.063994962601053	0.926894417637159
ST19_FRACT_SKULL_FACIAL_BONES	negative_control	Fracture of skull and facial bones	9677	2465	0.0062608	0.00905543555315257	0.0621439074330104	0.928800657013837
ST19_FRACT_SHOUL_UPPER_ARM	negative_control	Fracture of shoulder and upper arm	16817	2464	0.00160679	0.00832365423732678	0.0456136597403778	0.946062686022295
ST19_FRACT_FOOT_ANKLE	negative_control	Fracture of foot, except ankle	10987	2464	0.00123857	0.0078707817468156	0.125545678855338	0.866583539397846
ST19_FRACT_FEMUR	negative_control	Fracture of femur	12229	2464	0.000241457	0.00784264655978402	0.114038599210764	0.878118754229452
ST19_FRACT_WRIST_HAND_LEVEL	negative_control	Fracture at wrist and hand level	16641	2465	0.00291938	0.00692346783586865	0.0565020874009473	0.936574444763184
ST19_FRACT_LOWER_LEG_INCLU_ANKLE	negative_control	Fracture of lower leg, including ankle	28218	2464	0.0021697	0.00528018035786466	0.043804681192496	0.95091513844964
I9_VARICVE	negative_control	Varicose veins	38467	2464	0.00178004	0.00500628455790589	0.0391549536851997	0.955838761756894
H7_CATARACTSENILE	negative_control	Senile cataract	83886	2464	1.05655e-05	0.00197577741481147	0.801838180978068	0.196186041607121
K11_HERING	negative_control	Inguinal hernia	43066	2464	1.17576e-06	0.00107631947479082	0.896039397800493	0.102884282724716
