scenario	pph4_full	pph4_trunc	n_kept
distinct	0.012472125260253	0.0665018651153389	10
distinct	1.71006718811245e-05	2.6376048027338e-05	20
distinct	0.564302781422969	0.725733920248841	20
distinct	5.46594211943093e-06	0.00029072004981273	16
distinct	3.35996558254916e-07	2.29689158012473e-05	16
distinct	4.8566169308664e-06	4.85661717383893e-06	23
distinct	0.000561160982846665	0.00105738517223838	22
distinct	5.54197625428431e-05	0.140166731109372	15
distinct	3.60582020130083e-06	0.319738863904349	15
distinct	2.64531000370475e-06	6.62935753470088e-06	21
distinct	0.00142552380922105	0.913409547356751	13
distinct	1.45687819208596e-05	0.38530756614247	15
distinct	0.0779313096512934	0.116612846924274	15
distinct	0.0354693643084005	0.0460772485021741	16
distinct	0.0505897883227926	0.0507358769835073	21
distinct	0.010556518698678	0.0290514323415884	15
distinct	0.00015458266868985	0.000419468101735583	20
distinct	0.144052653493267	0.144111951993692	22
distinct	0.0531753265825188		4
distinct	0.112467743659308	0.112468150411631	23
distinct	0.00406868884615137	0.580838667277462	15
distinct	0.064269707091943	0.513495427256427	14
distinct	0.00553343515400828	0.458528590761683	15
distinct	0.166556267395211	0.181920025529379	15
distinct	0.000589367290015788	0.047450013203564	12
distinct	0.000764883294871646	0.068054505183859	16
distinct	0.00355057530711944	0.719470384477312	12
distinct	5.61683077870253e-06	5.61702739350075e-06	23
distinct	0.000631733155459919	0.0739087892745414	7
distinct	0.00103553557736357	0.567996327417659	8
distinct	0.127091277061397	0.210788261918879	20
distinct	0.000153747017581443	0.00031857393753347	16
distinct	0.0291491859971997	0.199301670378465	15
distinct	0.00198356040811071	0.299042413031495	16
distinct	0.0232938993627427	0.0259663328874729	15
distinct	0.000142493727550175	0.0001548931050108	21
distinct	2.78013496142436e-05	2.78014939850752e-05	23
distinct	5.71999065252651e-06	0.523121982286765	15
distinct	0.0119983512621441	0.992707425008551	10
distinct	0.00118837995914562	0.00624713220483921	15
distinct	0.060866257861571	0.108574755098305	15
distinct	0.000373231209906268	0.00037323155965001	23
distinct	7.94555274104114e-05	0.096851939074591	16
distinct	0.238384800668958	0.976713376301754	15
distinct	0.000341859982864668	0.944651880021148	15
distinct	0.0139623277010761	0.0144550471739771	22
distinct	9.91595048754594e-07	0.150501655087777	16
distinct	0.0123597200259061	0.531776858673397	8
distinct	0.0187737345605466	0.030634371120813	20
distinct	4.58017319584357e-06	0.0207602360010954	15
distinct	0.00127752168161531	0.00127765850114681	23
distinct	9.96918969179033e-07	0.696643866816293	15
distinct	0.0244490125409194	0.0244571792274734	24
distinct	0.000355271210556861	0.914812378075806	15
distinct	0.476233502788085	0.476241311568417	23
distinct	7.65879150889313e-05	0.0906455620343186	15
distinct	0.0242743257179194	0.0306262572810396	21
distinct	2.20403825918791e-05	0.0181739138759375	17
distinct	5.17322398482772e-06	5.17322424169751e-06	23
distinct	1.78480093283737e-07	0.152449028055313	20
distinct	9.73156040672586e-05	0.141465395667558	15
distinct	0.000254546029140827	0.00260541184239814	16
distinct	0.000426356356405053	0.198245289659722	7
distinct	0.000100943344799426	0.488282465510205	15
distinct	0.00652160745782579	0.0243135354984877	17
distinct	4.08925603310415e-06	4.08925946136525e-06	23
distinct	4.32624077075029e-06	0.217537044201189	15
distinct	0.00435838104803807	0.417552360256565	11
distinct	1.70907680837139e-07	0.128573469604047	15
distinct	0.000861251290329083	0.258168276417132	15
distinct	7.83550435472601e-10	0.290203922175509	15
distinct	3.25857910116349e-06	3.25857910123265e-06	23
distinct	0.000127055012313232	0.284786222295782	15
distinct	0.00635155888011613	0.551262375427811	14
distinct	0.000908211024406222	0.000908213250162376	23
distinct	0.130264078189614	0.767319229693867	9
distinct	0.000260707761634119	0.390975752331953	16
distinct	0.0797805667031824	0.079988631747166	22
distinct	0.00472574356911302	0.0392694340826903	16
distinct	2.29724580858339e-05	0.466728623697387	15
distinct	0.0411288031972434	0.991926766723432	16
distinct	0.684063504909789	0.684216474472099	22
distinct	0.000222877958858073	0.153879118576323	7
distinct	0.00524663235491424	0.150749799722332	7
distinct	0.000228084179594841	0.000356568455322931	19
distinct	0.0053537968816945	0.00535379858963106	23
distinct	0.0112008716499311	0.638835848473821	8
distinct	0.0265975926572709	0.120867291090765	16
distinct	0.550482011939693	0.0275943678713548	12
distinct	0.0485464170387077	0.107854858475474	7
distinct	0.00722976023838016	0.0679972266417308	11
distinct	3.85323458462103e-06	0.0361517992595477	12
distinct	0.00417291380962364	0.879608204927149	15
distinct	0.00247471077423137	0.0563741735548568	15
distinct	0.00146127642951293	0.307621125235277	15
distinct	1.5279980492074e-05	0.31262025787812	15
distinct	2.7864536556415e-05	0.310325205883217	15
distinct	0.00138609697116558	0.0149687839773318	16
distinct	3.94057228429254e-05	0.88434956250401	7
distinct	0.000452424800437405	0.00726528431355387	15
distinct	0.00543252393020076	0.0530243777605493	7
distinct	0.00412876750689459	0.628409229665996	11
distinct	0.432217371948773	0.916563986986958	7
distinct	0.00388690956219957	0.583806851488805	12
distinct	0.00111896812006244	0.0875621460307061	11
distinct	0.0419548243120802	0.503219631283731	7
distinct	1.7056245908917e-05	0.000441992835623197	16
distinct	0.000135854664537407	0.990586858215825	17
distinct	0.0226519845962968	0.620164130749981	8
distinct	3.32441457652462e-06	3.32441492780286e-06	24
distinct	0.529589730815255	0.529687779201152	23
distinct	0.000453083246134292	0.80900094584392	15
distinct	0.000338299012569609	0.000363188167293068	19
distinct	0.00120387362403606	0.00135252673607311	21
distinct	0.000141876326034234	0.276701615292258	15
distinct	0.00107292907911289	0.482664836772142	15
distinct	0.246936165163505	0.534933097915566	19
distinct	0.000973706112917191	0.0413748222287843	11
distinct	2.67833672086878e-06	3.83781924758774e-06	22
distinct	6.50635404835271e-06	0.355359919252625	15
distinct	0.0571222712276719	0.128089490954125	15
distinct	0.0727624489764881	0.365525505161306	16
distinct	2.91383645760118e-05	0.162157841457963	15
distinct	2.47586595175746e-06	0.368237611405565	15
distinct	0.0142366421049784	0.0142534627683164	23
distinct	0.00177009875346287	0.628750729970196	15
distinct	0.00431789897001357	0.966204147850255	16
distinct	8.06133484240264e-05	0.1576885608747	15
distinct	6.76250875229129e-06	0.447655097619336	15
distinct	2.11818191298715e-06	0.15576209418339	15
distinct	7.18230487013261e-07	0.0133202018477951	14
distinct	0.00224243783736901	0.00247782803492717	21
distinct	1.58678054346417e-06	4.33449975825399e-06	16
distinct	0.00144559730790448	0.00144623821048479	23
distinct	0.0094460993083042	0.010608758920179	15
distinct	4.67530829910438e-05	0.186228489963791	10
distinct	1.40306565776542e-05	0.252977537313866	19
distinct	4.61986315094914e-06	0.0461873045385477	15
distinct	6.7184052152119e-06	0.921296762115147	15
distinct	0.00416175060069273	0.403239281152264	15
distinct	0.000180915315637945	0.0497192523953298	10
distinct	0.000274161095496489	0.0653851596665951	15
distinct	8.01912568948452e-05	0.470314195496479	16
distinct	0.00780838778004716	0.00780967404334149	23
distinct	0.00250236920597157	0.00250236929209194	23
distinct	0.00385466475312664	0.132008952732205	15
distinct	5.35795636052794e-06	0.821287347674581	15
distinct	0.12345036001928	0.539099278647044	16
distinct	2.22626778208564e-05	2.37469813449152e-05	24
distinct	1.34285848099246e-07	0.0412112011146035	15
distinct	0.116810718158494	0.624630636731145	15
distinct	1.14204502057228e-06	1.14204508029599e-06	23
distinct	0.00459645287290699	0.00459683958109009	23
distinct	0.00196838549077229	0.066895518887219	16
distinct	3.99468073375433e-09	0.0116083915627752	15
distinct	0.0126722585244909	0.0176035259866252	22
distinct	0.000148373821149819	0.000148373879568363	24
distinct	0.129424329897403	0.245303212554551	20
distinct	0.00471023398507087	0.00533986492993237	20
distinct	1.23166388639752e-09	1.23166388791889e-09	24
distinct	0.409014816689933	0.513730579599803	17
distinct	1.08391267962288e-06	0.0868541837615699	15
distinct	0.0126315363187231	0.261245922051366	8
distinct	0.017118357373175	0.959275787858951	6
distinct	0.189165486238278	0.311433332578868	17
distinct	0.0163196585955532	0.798938817798959	15
distinct	0.00774767038631409	0.528471300571139	15
distinct	6.29186403448448e-05	0.0681917364414089	15
distinct	0.00595380735266912	0.0228541574272938	7
distinct	0.000931159889553931	0.616082877288218	15
distinct	1.13547135972469e-06	1.13547136953834e-06	24
distinct	0.00684235832581993	0.878926694026151	15
distinct	0.00551604455075539	0.280497672619452	7
distinct	0.000135934482617802	0.000135934483307946	23
distinct	0.00161814152678093	0.165157126859999	16
distinct	0.0790806286908207	0.643124694853792	16
distinct	9.71027447589779e-05	0.0887653588694834	15
distinct	0.00407583657538991	0.0292169734037618	13
distinct	0.00131754532022927	0.180581600950484	8
distinct	2.06632398490904e-05	0.651906401028262	15
distinct	3.25669927632677e-05	0.164479586777788	15
distinct	1.00093524805482e-05	1.0009463613549e-05	25
distinct	0.0266775470526388	0.982385594953654	7
distinct	0.0356977246512994	0.953568825468173	16
distinct	0.000124901285881439	0.72663914272462	15
distinct	5.03346757230622e-05	0.4799215769402	15
distinct	0.00574535065023692	0.984555947051958	15
distinct	0.000223541055469327	0.105404716974341	15
distinct	0.000830475075066067	0.00100725502529051	22
distinct	0.0228237355482294	0.022824262231969	23
distinct	0.00592098561742365	0.00594193819093495	23
distinct	0.00180700659976626	0.00198690598941612	23
distinct	0.000212766128804615	0.845594444398004	15
distinct	0.0120601874440922	0.953065626828449	7
distinct	1.49746173215277e-05	1.7677110700081e-05	20
distinct	0.299652214340941	0.973904036327579	13
distinct	7.75825273679974e-07	7.90832244648061e-06	16
distinct	5.85655935545574e-05	0.169223032691482	9
distinct	4.02550360814822e-06	0.00015196356950296	17
distinct	1.14955047616446e-05	0.134694054195926	15
distinct	4.32461499975699e-07	0.804513293720712	15
distinct	1.03020932791267e-06	0.0714590841497469	15
distinct	0.000268350663827	0.394864310053126	15
distinct	0.0194158635780339	0.935384010168155	5
distinct	0.0251400483080803	0.0449611165496123	21
distinct	0.0380012011148339	0.275892967940652	16
distinct	0.0477394057080945	0.265341929772902	15
distinct	0.0078163954942826	0.0138074827640017	20
distinct	0.058430947857504	0.289501684043592	18
distinct	0.0170389700107114	0.390994731430433	7
distinct	0.00406925043364582	0.919889259156082	15
distinct	0.00020562147748805	0.000205621478258631	23
distinct	0.00153878997654272	0.692303860755225	13
distinct	0.0035094260572492	0.935058456932181	15
distinct	0.000410312939468644	0.895707662260838	15
distinct	5.25988565819338e-06	5.25988759976886e-06	23
distinct	1.90540821622291e-06	3.00613368790871e-06	20
distinct	0.00266289232601742	0.305377977766077	15
distinct	0.0770714437076375	0.966874969990215	14
distinct	0.00117481775965767	0.00152871051893606	22
distinct	0.000706808029508353	0.0271632086966088	7
distinct	2.50809922203272e-05	2.51073805484066e-05	23
distinct	0.000186629564171612	0.650282877489014	15
