phecode	phenotype	category	num_cases	num_controls	N	K	b_ivw	se_ivw	pval_ivw	robust_hit	mdor80_nominal	mdor80_bonf	power_or1p5_nominal	power_or2_nominal	power_or2_bonf
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	Cardiometabolic endpoints	247538	252810	500348	0.494731666759935	-0.0285605401942305	0.0406828789609001	0.482661394660886	FALSE	1.09578152837234	1.17740122774277	1	1	1
PAIN	Pain (limb, back, neck, head abdominally)	Miscellaneous, not yet classified endpoints	237944	261418	499362	0.476496008907366	-0.0225916240485651	0.0337976876543862	0.503854700848291	FALSE	1.09598590848013	1.17779334361912	1	1	1
RX_ANTIHYP	Antihypertensive medication - note that there are other indications	Drug purchase endpoints	273281	227067	500348	0.546181857427231	-0.11242224904285	0.0603704567791349	0.0625740072072613	FALSE	1.09620630650523	1.17821625522561	1	1	1
K11_ORAL	Diseases of oral cavity, salivary glands and jaws	XI Diseases of the digestive system (K11_)	190088	310260	500348	0.379911581539249	0.0219917797937217	0.0346396323872259	0.525511013112263	FALSE	1.09880219697896	1.1832024150105	1	1	1
M13_ARTHROPATHIES	Arthropathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	185233	315115	500348	0.370208334998841	-0.0167355771154669	0.0357723272525573	0.63990198157131	FALSE	1.099339256893	1.18423515049966	1	1	1
RX_STATIN	Statin medication	IX Diseases of the circulatory system (I9_)	183578	316770	500348	0.366900637156539	-0.10399975707143	0.040467137393419	0.0101704217299199	FALSE	1.09953397588322	1.18460968188056	1	1	1
PULM_INFECTIONS	COPD/asthma/ILD related infections	Interstitial lung disease endpoints	162180	338168	500348	0.324134402455891	0.0518775352977988	0.0572929426160854	0.365211875138027	FALSE	1.10263864057042	1.19058837177185	1	1	1
I9_HYPTENS	Hypertension	IX Diseases of the circulatory system (I9_)	154630	345634	500264	0.309096796891241	-0.0823416143314374	0.0415546848417839	0.0475325163657309	FALSE	1.10403099401789	1.19327394316472	1	1	1
M13_DORSOPATHY	Dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	147124	353224	500348	0.294043345831301	-0.0226998700784145	0.0371472408947099	0.541147793772182	FALSE	1.10558390992892	1.19627234700289	1	1	1
M13_SOFTTISSUE	Soft tissue disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	142799	357549	500348	0.285399362044017	0.0662160961478062	0.0391750542500719	0.0909778874582103	FALSE	1.10656899773206	1.19817609171548	1	1	1
KRA_PSY_ANYMENTAL	Any mental disorder	Psychiatric endpoints from Katri Räikkönen	138044	362304	500348	0.275895976400425	0.104163804834374	0.0535445946113024	0.0517310089569083	FALSE	1.10773282583888	1.20042697930102	1	1	1
M13_ARTHROSIS_INCLAVO	Artrosis, including avohilmo	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	136897	363451	500348	0.273603571913948	-0.0291402643860384	0.0404758786414128	0.471561020951924	FALSE	1.10802695070314	1.20099612207792	1	1	1
FALLS	Falls/tendency to fall	Miscellaneous, not yet classified endpoints	133526	366822	500348	0.266866261082287	0.0146289498913987	0.0378050763242364	0.698787827012261	FALSE	1.1089230955042	1.20273092787827	1	1	1
I9_HYPTENSESS	Hypertension, essential	IX Diseases of the circulatory system (I9_)	132515	345634	478149	0.27714164413185	-0.0669121921769147	0.0529315823464677	0.206184787506672	FALSE	1.11017541862651	1.20515708814165	1	1	1
J10_UPPERDIS	Other diseases of upper respiratory tract	X Diseases of the respiratory system (J10_)	128828	371520	500348	0.25747679614988	0.023031331371418	0.047085434534918	0.624743156760237	FALSE	1.11025532841743	1.20531197258786	1	1	1
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	128075	372273	500348	0.255971843596857	-0.0699198608781834	0.0388705083065614	0.072051990286662	FALSE	1.1104783669015	1.20574432128454	1	1	1
G6_EPIPAROX	Episodal and paroxysmal disorders	VI Diseases of the nervous system (G6_)	125743	374605	500348	0.251311087483112	-0.0374836167178611	0.0448495072235614	0.403287517581581	FALSE	1.11118657985747	1.20711760802832	1	1	1
C3_CANCER_EXALLC	Malignant neoplasm, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	121495	378749	500244	0.242871478718385	-0.0746262740553709	0.0419942183646706	0.0755582573597642	FALSE	1.11255176395523	1.20976675939602	1	1	1
M13_DORSOPATHYOTH	Other dorsopathies, not elsewhere classified	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	111401	353224	464625	0.23976540220608	-0.0176372975118088	0.0424720101515489	0.67794519330775	FALSE	1.11756897676523	1.21952464315372	1	1	1
RX_CROHN_1STLINE	First line medication for Crohn's disease	Drug purchase endpoints	106320	394028	500348	0.212492105494576	-0.0112605139970639	0.0458643466530278	0.806055518880548	FALSE	1.11828158779304	1.22091338333335	1	1	1
K11_INTESTOTH	Other diseases of intestines	XI Diseases of the digestive system (K11_)	105623	394725	500348	0.21109907504377	-0.0329432784953302	0.0750135656295544	0.660542505710097	FALSE	1.11858264910361	1.22150030213913	1	1	1
M13_OTHERJOINT	Other joint disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	110868	315115	425983	0.260263907245125	-0.0038060975078753	0.0590482625472105	0.948606026013744	FALSE	1.11958254050458	1.2234504800762	1	1	1
J10_UPPERINFEC	Acute upper respiratory infections	X Diseases of the respiratory system (J10_)	97696	402652	500348	0.19525610175318	0.0141892257617357	0.0427045506733056	0.739689197218249	FALSE	1.12228569783949	1.22872954026399	0.999999999999998	1	1
N14_URINOTH	Other diseases of urinary system	XIV Diseases of the genitourinary system (N14_)	97020	403328	500348	0.193905042090705	-0.0384529642421142	0.0434197954787124	0.375828227963502	FALSE	1.12262710793989	1.22939699927523	0.999999999999998	1	1
