gene	tissue	n_shared_snps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	phecode	lead_chr	lead_bp
ENSG00000196352.14	Brain_Cortex	2466	0.000513899756031145	0.11369708704011	0.00391898271103716	0.867035427975296	0.0148346025175267	NEURODEGOTH	1	207518704
ENSG00000203710.10	Brain_Cortex	2466	4.4423895089671e-07	9.82850722810021e-05	0.000110383288845699	0.0234452623877817	0.976345625012141	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Cortex	2466	2.59713193959292e-31	5.74599097829985e-29	0.00449931158171206	0.995444316821471	5.63715968112324e-05	NEURODEGOTH	1	207518704
ENSG00000284237.1	Brain_Cortex	2466	0.000239544824521555	0.0529977849648647	0.00424301985328299	0.938737659136052	0.00378199122127932	NEURODEGOTH	1	207518704
ENSG00000196352.14	Brain_Hippocampus	2457	0.000987649513785952	0.218511445069308	0.00344088091946013	0.761258163779679	0.0158018607177665	NEURODEGOTH	1	207518704
ENSG00000203710.10	Brain_Hippocampus	2457	0.000168364516564641	0.0372496247903873	0.00136089862688642	0.300429748755392	0.66079136331077	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Hippocampus	2457	6.3107029818036e-16	1.39620463404182e-13	0.00449930349327467	0.995443462352192	5.72341543917383e-05	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Anterior_cingulate_cortex_BA24	2465	0.000478419688690589	0.105847812885443	0.00395098540468533	0.874118913824523	0.0156038681966578	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Amygdala	2443	2.96845081713704e-05	0.00656455114856897	0.00446582649885287	0.987589425899458	0.00135051194494911	NEURODEGOTH	1	207518704
ENSG00000117322.17	Brain_Hypothalamus	2466	8.49108485291484e-06	0.0018786056584817	0.00449031331763121	0.993456872220367	0.00016571771866729	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Hypothalamus	2466	4.57808529878208e-06	0.00101287610432388	0.00449439591077535	0.994360161149238	0.000127988750365085	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Substantia_nigra	2436	2.18283468768835e-05	0.00482938344291628	0.00447442788806048	0.989938084148478	0.000736276173667893	NEURODEGOTH	1	207518704
ENSG00000196352.14	Brain_Caudate_basal_ganglia	2487	0.00263684885089555	0.583127495699282	0.00168217284518104	0.371964517892514	0.0405889647121281	NEURODEGOTH	1	207518704
ENSG00000203710.10	Brain_Caudate_basal_ganglia	2487	5.13266043007717e-07	0.000113506522068915	0.000116582547050856	0.0248067535437145	0.974962644121123	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Caudate_basal_ganglia	2487	2.2558681728004e-15	4.98875298743818e-13	0.00450129468045158	0.995441411991023	5.72933280244771e-05	NEURODEGOTH	1	207518704
ENSG00000284237.1	Brain_Caudate_basal_ganglia	2487	0.000128838397116213	0.0284920433853351	0.00436292224070559	0.964838837054659	0.00217735892218421	NEURODEGOTH	1	207518704
ENSG00000203710.10	Brain_Putamen_basal_ganglia	2474	3.44173792037395e-05	0.00761051663034243	0.000113221515073477	0.02406784685331	0.96817399762207	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Putamen_basal_ganglia	2474	2.834607745746e-14	6.2680046792039e-12	0.00450171630764179	0.995438512747361	5.97709387018669e-05	NEURODEGOTH	1	207518704
ENSG00000196352.14	Brain_Cerebellum	2470	8.72176390591975e-06	0.00192964033412493	0.00448852658870818	0.993060299173934	0.000512812139327057	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Cerebellum	2470	7.79093965432356e-45	1.72370079721055e-42	0.00449929539274148	0.995443290815783	5.74137914766809e-05	NEURODEGOTH	1	207518704
ENSG00000196352.14	Brain_Cerebellar_Hemisphere	2467	0.000229183739477714	0.0506780600382869	0.00425349265277712	0.94054566217246	0.00429360139699781	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Cerebellar_Hemisphere	2467	8.27921259409689e-25	1.83073386388384e-22	0.00450182148210024	0.995461420810969	3.675770693055e-05	NEURODEGOTH	1	207518704
ENSG00000284237.1	Brain_Cerebellar_Hemisphere	2467	0.00194963931367701	0.431112339892401	0.00234018027585338	0.517423204328654	0.0471746361894148	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Frontal_Cortex_BA9	2468	4.74086177684545e-10	1.04888995694352e-07	0.00449929126794645	0.995443735094127	5.68682748453204e-05	NEURODEGOTH	1	207518704
ENSG00000203710.10	Brain_Nucleus_accumbens_basal_ganglia	2458	0.000193283972050956	0.0427629136027764	0.000177185887380575	0.0382827255258355	0.918583891011957	NEURODEGOTH	1	207518704
ENSG00000117335.19	Brain_Nucleus_accumbens_basal_ganglia	2458	4.49443694593978e-18	9.94367079551116e-16	0.00449930610579026	0.995444295415797	5.63984784093392e-05	NEURODEGOTH	1	207518704
ENSG00000196352.14	Brain_Cortex	2466	5.52726343500961e-07	0.114100542183811	4.21507299564426e-06	0.8701112148167	0.0157834752001506	AD_LO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Cortex	2466	4.33258566211905e-10	8.94385402321122e-05	1.07654912660195e-07	0.021244780065639	0.978665673305957	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Cortex	2466	2.79620021673413e-34	5.77225899462309e-29	4.84418054706517e-06	0.999995084938931	7.08805224380446e-08	AD_LO_EXMORE	1	207518704
ENSG00000284237.1	Brain_Cortex	2466	2.5790447894864e-07	0.0532398016227753	4.56822152853993e-06	0.943024513318213	0.00373085893300329	AD_LO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Hippocampus	2457	1.06298392970898e-06	0.219434171797833	3.70333916067827e-06	0.764472573002365	0.0160884888767113	AD_LO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Hippocampus	2457	1.89736289118937e-07	0.0391676904035668	1.53364771034369e-06	0.31594947722816	0.644881108984273	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Hippocampus	2457	6.79442571515271e-19	1.40258863561053e-13	4.84418034617197e-06	0.999995082253405	7.35661113467645e-08	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Anterior_cingulate_cortex_BA24	2465	5.13234116489633e-07	0.105948077132424	4.23849718431749e-06	0.874943437106142	0.0191037340301327	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Amygdala	2443	3.19438764970066e-08	0.00659424597219961	4.80573265060871e-06	0.992056810693249	0.0013441056580249	AD_LO_EXMORE	1	207518704
ENSG00000117322.17	Brain_Hypothalamus	2466	9.14170830857263e-09	0.00188714348785315	4.83438044430708e-06	0.997971934932291	0.00013607805770504	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Hypothalamus	2466	4.92900020063e-09	0.00101750464095678	4.83889593577816e-06	0.998904140599637	7.35109344696888e-05	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Substantia_nigra	2436	2.3507245368388e-08	0.00485265358281856	4.81857260382757e-06	0.994708356422666	0.000434147914664187	AD_LO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Caudate_basal_ganglia	2487	2.83704850564805e-06	0.585658297739158	1.80988984447923e-06	0.373578869149375	0.0407581861731166	AD_LO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Caudate_basal_ganglia	2487	4.10512665485646e-10	8.47430519393852e-05	9.32432854090707e-08	0.0182667725296273	0.981648390764637	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Caudate_basal_ganglia	2487	2.42770882545578e-18	5.0115738778953e-13	4.84418059240749e-06	0.999995084271358	7.15475477506804e-08	AD_LO_EXMORE	1	207518704
ENSG00000284237.1	Brain_Caudate_basal_ganglia	2487	1.3866023922531e-07	0.0286239447464963	4.69552443338752e-06	0.969305593785546	0.00206562728328466	AD_LO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Putamen_basal_ganglia	2474	5.56982069774335e-08	0.011497905692332	1.8322822733045e-07	0.0368725843319533	0.95162927104928	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Putamen_basal_ganglia	2474	3.05024821982199e-17	6.29669575969051e-12	4.84418070688444e-06	0.999995079602703	7.62102905398979e-08	AD_LO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Cerebellum	2470	9.39335661419948e-09	0.00193909181386367	4.83415182695272e-06	0.997924744698084	0.000131319942867747	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Cerebellum	2470	8.38813934200616e-48	1.73158254282014e-42	4.84418033891686e-06	0.999995084313315	7.15063483492014e-08	AD_LO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Cerebellar_Hemisphere	2467	2.46713565920061e-07	0.0509296347324301	4.57883418070098e-06	0.94521515877166	0.0038503809481641	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Cerebellar_Hemisphere	2467	8.90883901623069e-28	1.83907161851676e-22	4.8441808213061e-06	0.999995111237224	4.45819559549849e-08	AD_LO_EXMORE	1	207518704
ENSG00000284237.1	Brain_Cerebellar_Hemisphere	2467	2.08548001802326e-06	0.430510317353691	2.50323183864199e-06	0.516694972480032	0.0527901214544202	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Frontal_Cortex_BA9	2468	5.10426753579305e-13	1.05368547395531e-07	4.84417969433764e-06	0.999994953411961	9.70392865373355e-08	AD_LO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Nucleus_accumbens_basal_ganglia	2458	1.66593123266996e-07	0.0343901940999014	1.52718045186812e-07	0.0305909118690876	0.935018574719842	AD_LO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Nucleus_accumbens_basal_ganglia	2458	4.83893802072924e-21	9.98912887319871e-16	4.84418040437215e-06	0.999995084325252	7.14943416514849e-08	AD_LO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Cortex	2466	0.0947372445182951	0.0171436682710786	0.722463124376337	0.130702098974985	0.0349538638593036	AD_EO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Cortex	2466	0.0023657453047597	0.00042810568245765	0.587833972648119	0.10607123715075	0.303300939213913	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Cortex	2466	4.79031580767369e-29	8.66856383020543e-30	0.82988172702935	0.150155579193274	0.0199626937773728	AD_EO_EXMORE	1	207518704
ENSG00000284237.1	Brain_Cortex	2466	0.0443922551707103	0.0080332302287382	0.786313043487942	0.142272356208912	0.0189891149036978	AD_EO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Hippocampus	2457	0.174091112819862	0.0313199545324937	0.606517575301785	0.109036833448445	0.0790345238974146	AD_EO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Hippocampus	2457	0.0890808697554125	0.0160261413995408	0.720045029710544	0.129494731999487	0.0453532271350164	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Hippocampus	2457	1.16581347313646e-13	2.09736294866379e-14	0.831182935928708	0.149515107582317	0.019301956488837	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Anterior_cingulate_cortex_BA24	2465	0.0898325350396881	0.0161694624345227	0.741873804941241	0.133515423354041	0.0186087742305069	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Amygdala	2443	0.00547951674556949	0.000979594634330313	0.824354944404072	0.14735132213939	0.0218346220766386	AD_EO_EXMORE	1	207518704
ENSG00000117322.17	Brain_Hypothalamus	2466	0.00156279360786555	0.00028310326236148	0.82644715859819	0.149690578817009	0.0220163657145737	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Hypothalamus	2466	0.000844236459015929	0.000152935163382416	0.828803449804238	0.150119362143494	0.0200800164298697	AD_EO_EXMORE	1	207518704
ENSG00000117335.19	Brain_Substantia_nigra	2436	0.00403879015488958	0.000722553545071113	0.827881076152396	0.148091525427477	0.0192660547201671	AD_EO_EXMORE	1	207518704
ENSG00000196352.14	Brain_Caudate_basal_ganglia	2487	0.502763547632174	0.0913401074019382	0.320737074893955	0.0582433365670417	0.0269159335048904	AD_EO_EXMORE	1	207518704
ENSG00000203710.10	Brain_Caudate_basal_ganglia	2487	0.00247505144947542	0.000449657629884104	0.56217980127982	0.101801525122199	0.333093964518621	AD_EO_EXMORE	1	207518704
